Title,Location,Company,skills,wage,qualifications,work_place,job_type
SOFTWARE ENGINEER I/II,"Glendale, CA 91203","InDepth Engineering Solutions, LLC","C, C++, FORTRAN",N/A,N/A,N/A,N/A
Software Engineer,"Grand Rapids, MI 49512",National Heritage Academies,"C#, JavaScript, HTML, CSS",N/A,"Computer Science, Computer Information Systems",N/A,N/A
"2024 Co-Op, Computational Immunology","Cambridge, MA 02139 
(The Port area)",Moderna,"R, Python, N/A",N/A,N/A,N/A,N/A
Systems Engineer,Remote,Creative Technology Solutions,".Net, Java, Salesforce","$87,425.72 - $105,286.88 a year",N/A,Remote,Full-time
AI Analyst,Remote,Sapiens Development,"Python, R",N/A,N/A,N/A,N/A
Software Engineer,"Hybrid remote in Warrenville, IL 60555",Haulistic,".NET, JavaScript (Angular, React, Vue), HTML, CSS",N/A,"Computer Science, Computer Information Systems",N/A,N/A
Observatory Operations Software Engineer,"Pasadena, CA 91125 
(Pasadena area)",California Institute of Technology,"Python, C++, C#",N/A,N/A,N/A,Fulltime
Developer,"Liberty, SC 29657",KeyMark Inc,".NET, C#, ASP.NET, MVC, SQL Server, JavaScript, HTML, CSS",N/A,"Bachelor's or master’s degree in computer science, Software Engineering, or a related field",N/A,Full-time
Software Development Engineer I- NGA,"Saint Charles, MO",Esri,Javascript,"$72,800 - $124,800 a year","Bachelor`s Degree in Computer Science, Mathematics, Geographic Information Systems (GIS), or STEM related field",N/A,N/A
Zscaler engineer,Remote,Ascend Data,N/A,"$143,929 - $180,275 a year",N/A,Remote,Full-time
Cloud Developer,"Denver, CO 80235",Computronix,"Python, REST, Javascript, reactJS, node.js, C#, .net, Bash, PL/SQL",N/A,"Computer Science, Information Technology",N/A,N/A
Junior Systems Engineer,"Dallas, TX",Workforce Opportunity Services,",Shell,Jython,Groovy ,PERL",N/A,Computer Science,In-person,full-time
C++ Software Development Engineer,"Hybrid remote in San Jose, CA 95113","Zoom Video Communications, Inc.","C/C++, python, PHP, shell scripting","$106,500 a year",N/A,Hybrid,N/A
"Faculty, Computer Science, Full-Time, Tenure Track, Fall 2024","Salem, MA 01970",Salem State University,N/A,"$90,000 a year",N/A,In person,Full-time
INFORMATION SYSTEMS TECH CONSULTANT,"Hybrid remote in Davidson County, TN",State of Tennessee,N/A,"$6,383 a month","College Major,N/A",Hybrid,N/A
Electrical Engineer,"Pittsboro, IN 46167",Fleece Performance Engineering,N/A,"$74,818.52 - $90,104.02 a year","Electrical Engineering, Computer Science",In person,Full-time
Information Technology Manager,"Decatur, MI 49045",Special-Lite Inc,N/A,N/A,"Electrical Engineering, computer Science",In person,Full-time
Software Engineer,"Hybrid remote in Glendale, CA 91203",Karagozian & Case,N/A,"$80,000 - $108,000 a year",Electrical Engineering,In person,Full-time
Software Developer,"Hybrid remote in Research Triangle Park, NC 27703",Sciome LLC,N/A,"$70,000 - $115,000 a year","Electrical Engineering, Computer Science",In person,Full-time
Full Stack Software Engineer,"Cambridge, MA 02138 
(Cambridge Highlands area)",Leadstack Inc,N/A,$50 - $65 an hour,"Electrical Engineering, Computer Science",In person,Full-time
Software Systems Engineer,"Hybrid remote in California, MD 20619","Don Selvy Enterprises, Inc. (DSE)",N/A,"$87,053.19 - $104,838.25 a year",Electrical Engineering,In person,Full-time
Software Engineer,"Westlake, OH 44145",Technology Recovery Group,N/A,"$70,000 - $110,000 a year","Electrical Engineer, computer Science",In person,Full-time
Software Engineer (Entry Level),"Reston, VA 20190 
(Sunset Hills area)","HunterLab, Inc.",N/A,N/A,"Electrical Engineering, Computer Science",In person,Full-time
Computer Vision engineer,"New York, NY",Viatouch Media Inc,N/A,"$142,855 - $155,755 a year","Electrical Engineering, Computer Science",In person,Full-time
Senior Modeling & Simulation Software Engineer,"Albuquerque, NM 87110 
(Uptown area)",Verus Research,N/A,"$140,000 - $185,000 a year","Electrical Engineering, Computer Science",In person,Full-time
Software Engineer,"Winston-Salem, NC 27101","La Tortilleria, LLC",N/A,"$65,000 - $150,000 a year","Electrical Engineering, computer Science",In-person,Full-time
Machine Learning Engineer,"North Brunswick, NJ 08902",Sonder Research X,N/A,"From $115,000 a year","Electrical Engineering, Computer Science",In person,Full-time
Data Science Technical Fellow,Remote,Indeed,N/A,"$214,000 - $310,000 a year","Electrical Engineering, Computer Science",In person,Full-time
Junior Software Engineer,"Township of Jackson, NJ","Bryco,LLC",N/A,"$42,000 - $55,000 a year","Electrical Engineering, computer Science",In person,Full-time
Systems Engineer II,Remote,Premier One,N/A,"$93,000 - $116,000 a year","Electrical Engineering, computer Science",In person,Full-time
Software Engineer,"Tulsa, OK 74104 
(Kendall - Tennants area)",The University of Tulsa,N/A,N/A,"Computer Science, Computer Engineering, Cyber Studies, Electrical Engineering",N/A,N/A
Software Dev Engineer II,"Sunnyvale, CA","Intelliswift Software, Inc.",N/A,$60 - $63 an hour,N/A,N/A,N/A
V&V Software Test Engineer,"San Jose, CA",Maxar Technologies,N/A,"$92,000 - $151,000 a year",N/A,N/A,N/A
Software Developer Engineer in Test,"Cary, NC 27513",SAS,N/A,N/A,N/A,N/A,N/A
RESEARCH ASSOCIATE-HSR-PC,"Rochester, MN 55905 
(Downtown area)",Mayo Clinic,N/A,N/A,N/A,N/A,N/A
Systems Engineer,Remote,Kreative Technologies,N/A,N/A,N/A,N/A,N/A
Senior Software Engineer - Microsoft 365 Engineering Systems,"Redmond, WA 98052 
(Overlake area)",Microsoft,N/A,"$112,000 - $218,400 a year","Computer Science, Computer Engineering, Cyber Studies, Electrical Engineering",N/A,N/A
