Title,Location,Company,skills,wage,qualifications,work_place,job_type
System Administrator,"Sequim, WA 98382",Security Services Northwest,"C#, Web API, TypeScript, JavaScript",$23 - $24 an hour,N/A,Remote,full-time
Special Agent: STEM Background,"Columbia, SC",Federal Bureau of Investigation,N/A,"$81,000 - $129,000 a year","IT, forensic science, computer technology",In-person,Full-time
Software Engineer,California,PayPal,"Node.js, ReactJS, NextJS, Java",N/A,N/A,N/A,N/A
Enrollment Counselor,"Fremont, CA",San Francisco Bay University,N/A,"From $70,000 a year",N/A,In-person,full-time
Automation Engineer - Manufacturing,"Midland, NC",IntelliSource,"Python, C++","From $65,000 a year","Associate degree in Electrical Engineering, Computer Science, or related field
Bachelor’s degree in electrical engineering, Computer Science, or related field",N/A,Part-time
Associate Software Engineer,Georgia,Assurant,"C# .Net, SQL",N/A,"Computer Science, N/A",N/A,N/A
Backend DevOps Engineer,Remote,Spresso,"Typescript, Node.js, Python, Go, Java","$125,000 - $170,000 a year",N/A,Remote,Full-time
"2024 Co-Op, Software Engineering","Seattle, WA 98109 
(South Lake Union area)",Moderna,"java script, type script",N/A,N/A,N/A,Full-time
Software Engineer,"Mountain View, CA 94043",Microsoft,N/A,N/A,N/A,N/A,N/A
Journeyman Engineer / Scientist,"Hybrid remote in King George, VA 22485",V2X,N/A,"$100,000 - $150,000 a year","Mechanical Engineering, Electrical Engineering, Computer Engineering, Electronics Engineering, Mathematics, Computer Science, Physics",Hybrid,Full-time
IT Service Management Lead,"Murfreesboro, TN 37129",Ascend Federal Credit Union,N/A,N/A,"CIS, MIS, Information Systems, Computer Science, Engineering",N/A,N/A
Front-End Engineer,"Fort Collins, CO 80528",Hewlett Packard,"HTML, CSS, JavaScript, React, Angular, Vue.js, TensorFlow, PyTorch, D3.js","$102,500 - $148,650 a year","Bachelor's or Master’s degree in Computer Science, Software Engineering, or a related field.",N/A,N/A
"Senior Specialist, Operations Applications (PI)","Houston, TX 77002 
(Downtown area)","Cheniere Energy, Inc.","SQL, JavaScript, C#, PowerShell, HTML, CSS, XML",N/A,"Bachelor’s in engineering, Computer Science, Statistics, Analytics, or similarly relevant degree.",N/A,Full-time
Java Software Engineer,"San Jose, CA",PayPal,N/A,N/A,N/A,N/A,N/A
Student Assistant - Computer Science,Remote,Brookhaven National Laboratory,"C/C++, Python",N/A,N/A,N/A,Internship
Tester Design Engineer,"Amarillo, TX",Consolidated Nuclear Security,N/A,N/A,"Electrical Engineering, Computer Engineering or Computer Science",N/A,N/A
IT Help Desk Lead,"Malvern, PA 19355","ifm efector, inc.",N/A,N/A,"Computer Science, Information Technology",N/A,N/A
Junior Software Engineer (Hybrid Position),"Hybrid remote in SoHo, NY",New York Cancer & Blood Specialists,"Python, JavaScript","$90,000 a year",N/A,Hybrid,Full-time
Computer Support Tech,"Walnut Ridge, AR 72476",CAVENAUGH AUTO GROUP,N/A,$17 - $18 an hour,Computer Science or related field,In person,Full-time
Software Engineer II,"Sunnyvale, CA",Uber,"C, C++, Java, Python, or Go","$158,000 a year",N/A,N/A,N/A
IT Service Desk Specialist,Remote in Ohio,Dizer Corp.,N/A,$18 - $21 an hour,"Information Technology, MIS, IS, IT, CNS, Computer Engineering, Windows Networking Administration",Remote,Full-time
Software Engineer,"Hybrid remote in Glendale, CA 91203",Karagozian & Case,"C/C++, C#, Fortran, Python","$80,000 - $108,000 a year",N/A,Hybrid,Full-time
Full Stack Software Engineer,Remote,Commit,"HTML, CSS, JavaScript, Node.js, Python, PostgreSQL, MySQL, MongoDB","$103,565.50 - $124,724.04 a year",Computer Science,Remote,Full-time
Software Engineer,"Santa Clara, CA 95051",NVIDIA,"C/C++, Fortran, C#, Python",N/A,N/A,Hybrid,Full-time
Program Manager,"Saint Inigoes, MD 20684",Compliance Corporation,N/A,"$51,373 - $127,765 a year",N/A,In person,full-time
Frontend Software Engineer,"Hybrid remote in San Jose, CA 95113","Zoom Video Communications, Inc.","Javascript,HTML,CSS,Java,Python, shell, PHP,React,Vue",N/A,"BS in Computer Science, EE","In-person,Hybrid",N/A
SharePoint Developer,"Hampton, VA 23666 
(Northampton area)",Referentia Systems Incorporated,"HTML, Javascript, CSS, SQL",N/A,Computer Science,In-person,Full-time
Data Scientist,"Redmond, WA 98052 
(Overlake area)",Microsoft,N/A,N/A,"Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science",N/A,N/A
AI/Computer Vision Engineer,Remote,Zabble,Python,N/A,Computer Science,Remote,full-time
Back End AI Engineer,"Fort Collins, CO 80528",Hewlett Packard,"Python, Java","$107,650 - $165,800 a year","Computer Science, Software Engineering",N/A,N/A
Junior Software Engineer,"Township of Jackson, NJ","Bryco,LLC","C#, .NET, Java, JavaScript, RegEx, HTML, CSS, JavaScript, SQL","$42,000 - $55,000 a year",Computer Science,"Job,Work Location
In-person,In person","Full-time, Internship"
Computer Vision engineer,"New York, NY",Viatouch Media Inc,"Python, C/C++","$142,855 - $155,755 a year",N/A,In person,Full-time
Junior Developer,"Depew, NY 14043","ConEquip Parts & Equipment, LLC","Python, SQL, Java, PHP, C++, HTML, CSS, JavaScript","$59,000 - $69,000 a year",N/A,In-person,Full-time
Data Scientist,Remote,Commit,"Python, Java","$103,565.50 - $124,724.04 a year",N/A,Remote,Full-time
Full Stack Engineer,Remote,Linkitall LLC,"Python, Ruby, .NET, AWS S3/Glue, C#","$100,000 - $120,000 a year","Computer Science, Information Technology, or Engineering",Remote,full-time
Application Security Engineer,Remote,Indeed,"Java, Python, Javascript","$110,000 - $154,000 a year","Computer Science, Engineering, Computer Security, Information Systems",Remote,Full-time
Backend Developer (100% Remote),Remote,The HT Group,"Java, Groovy, Python, JavaScript, N/A","$120,000 - $180,000 a year",Bachelor’s Degree in Computer Science or related technical field,N/A,Full-time
Software Engineer,"Redmond, WA 98052 
(Overlake area)",Microsoft,"C, C++, C#, Java, JavaScript, Python","$76,400 - $151,800 a year","Computer Science, or related technical discipline",N/A,N/A
Staff Engineer,"Aberdeen, MD",DCI Solutions,N/A,"$100,000 - $140,000 a year",BS in Computer Science or Related,In-person,Full-time
Computer Services Assistant,"Lyons, NY 14489",Wayne Count Information Technology Department,N/A,From $26.30 an hour,"Associate Degree, Computer science, Electronic data processing or related field",In-person,Full-time
AGV Program Developer,"Chesterfield, MO",Align Production Systems,"Structured Text, Ladder Logic","$100,000 - $115,000 a year",N/A,In person,Full-time
quality engineer I,"Seattle, WA 98134 
(Industrial District area)",Starbucks,"Python, SQL, Cassandra","$82,700 - $146,000 a year",N/A,N/A,N/A
"Associate Engineer, DevOps (NTD)","Redmond, WA",Nintendo,"Python, C++, C#, Java, C",N/A,"Computer Science, Electrical Engineering",In-person,N/A
Software Engineer,"New York, NY 10017 
(Midtown area)",JPMorgan Chase & Co,"C, C++, C#, Java, JavaScript, Python","$186,000 - $215,000 a year","Bachelor's Degree in Computer Science, or related technical discipline",N/A,N/A
Software Engineer ll,"Seattle, WA",Hertz,N/A,"$135,000 - $150,000 a year",N/A,N/A,N/A
Software Engineer,"Redmond, WA 98052 
(Overlake area)",Microsoft,"C, C++, C#, Java, JavaScript, Python, N/A","$76,400 - $151,800 a year",Bachelor's Degree in Computer Science or related technical discipline,N/A,N/A
Junior Electrical Engineer,"Jersey City, NJ 07305 
(Greenville area)",ACR,"Python, MATLAB, C++",$30 - $45 an hour,N/A,In person,Full-time
AI Machine Learning Engineer,"Hybrid remote in Iselin, NJ 08830",Trinity Solar Careers,"Python, C#","$110,000 - $200,000 a year",N/A,Hybrid,Full-time
IT Application Software Analyst,"Hybrid remote in Richmond, VA 23219",National Computing Group,"Windows/IIS Servers, Citrix, WebLogic, Oracle and SQL Server databases, MS Access, RedHat Linux, FTP/SFTP, XML, HTML",$42 - $54 an hour,"Computer Engineering, Computer Science, or Information Systems",Hybrid,Full-time
IT Support Engineer (REMOTE),"Naperville, IL",Cadent Sourcing,N/A,"$30,000 - $45,000 a year","Bachelor’s in information technology, Computer Science",In-person,Full-time
Computer Science Coach,"San Jose, CA",Silicon Valley Education Foundation,N/A,"$7,020 a month",N/A,In person,Part-time
Physical Security System Engineer,"San Jose, CA",Securitas,"C#, C++, JAVA, HTML","$115,000 a year",N/A,In-person,Full-time
Real-time Software Engineer - Entry Level,"Tukwila, WA",BOEING,"C, C++, or C#",N/A,N/A,In-person,N/A
Python Developer,"Jacksonville, FL 32256",Kforce,"Python, Django, Flask, Pyramid, JavaScript, HTML5","$110,500 - $149,500 a year","BS degree in Computer Science, Engineering, or relevant field",N/A,N/A
Data Engineer I,"Santa Monica, CA",Disney Entertainment & ESPN Technology,"Programming languages needed:
Python, R, bash","$85,300 - $114,400 a year","Computer Science, Information Systems, Software, Electrical, or Electronics Engineering",N/A,N/A
IT Help Desk,"New York, NY",Rho Business Banking,"python, bash, N/A",N/A,N/A,In-person,N/A
IT Support Specialist,"Charlottesville, VA 22901 
(Locust Grove area)","S. L. Williamson Co., Inc",N/A,"$65,000 - $95,000 a year",Bachelor’s degree in computer science or related field,In-person,Full-time
Computer Software Specialist 1,"Memphis, TN 38134 
(River Oaks-Kirby-Balmoral area)","Memphis Light, Gas and Water Division",N/A,"$73,611.20 a year","Computer Science, Engineering, Information Systems, Business with a concentration in Information Systems or Math with a concentration in computer science",N/A,N/A
Java Developer Recent Graduates - Entry Level Positions,"Austin, TX",Cogent Infotech Corporation,"Java, HTML, CSS, JavaScript",N/A,N/A,N/A,full-time
Java Developer Recent Graduates - Entry Level Positions,"Pittsburgh, PA 15241",Cogent Infotech Corporation,"Java, HTML, CSS, JavaScript",N/A,N/A,N/A,full-time
Contract Specialist,"Olympia, WA 98501 
(Downtown area)",Washington State Department Of Licensing,N/A,"$5,341 - $7,184 a month","Information Management, Computer Science, Business or Public Administration, business law, commerce, mathematics, statistics, economics",Hybrid remote,Full-time
"Senior, Project Management","Johns Creek, GA 30097",Macy’s,N/A,"$100,900 - $168,400 a year","Computer Science/Engineering, or related field",N/A,Full-time
"Director, Portfolio Architecture","Johns Creek, GA 30097",Macy’s,N/A,"$168,400 - $280,800 a year",N/A,N/A,N/A
Computer Programmer/Analyst,"Las Vegas, NV 89115 
(Sunrise Manor area)",The Original Roofing Company,"HTML5, CSS3, jQuery, JavaScript, C#, SQL Server, MySQL, MongoDB","$60,000 - $100,000 a year","Computer Science, Engineering",In-person,Full-time
Junior Developer,"Depew, NY 14043","ConEquip Parts & Equipment, LLC","Python, SQL (PostgreSQL), Java, PHP, C++, HTML, CSS, JavaScript","$59,000 - $69,000 a year",N/A,In-person,Full-time
Data Analyst,Remote,A3 Freight Payment,N/A,"$60,000 - $70,000 a year","Computer science, software engineering, or business information systems",Remote,Full-time
Software Engineer,"St. Louis, MO 63141",Marcone Appliance Parts,N/A,N/A,"Computer Science, Business",In-person,Full-time
Full Stack .Net Developer,Remote,Galactic Advisors,"C#, ASP.NET, .NET","$75,000 - $120,000 a year",Computer Science,Remote,Full-time
Full-Stack Software Engineer,"Salt Lake City, UT 84116",CyberCoders,"React
Node
TypeScript","$90,000 - $110,000 a year","Computer Science, Software Engineering",N/A,Full-time
Entry-Level IT Field Technician,"Miami, FL",Support305,N/A,$20 - $25 an hour,"Computer Science, Information Technology",In-person,Full-time
Help Desk Specialist,"New York, NY 10019 
(Midtown area)",Innovative Driven,N/A,"$85,000 - $105,000 a year",N/A,In-person,Full-time
Data Analyst (Remote),Remote,Galactic Advisors,"SQL, Python, N/A, N/A, N/A, N/A","$65,000 - $90,000 a year","Computer Science,
Statistics,
Information Science",Remote,Full-time
Entry Level Software Engineer,"Hybrid remote in Maryland Heights, MO",BOEING,"C#, C++, Java, N/A",N/A,N/A,Hybrid,N/A
Software Developer,"Pittsburgh, PA",Cyient,C++,"$100,000 - $120,000 a year",N/A,In person,Full-time
Application Developer,"New York, NY 10036 
(Hell's Kitchen area)","Health Center, Inc.","C#, VB .NET, ASP.NET, SQL Server, C#, SharePoint, SQL","From $100,000 a year",Computer Science or related field,In-Person,Full-time
Junior Web Developer,"Scottsdale, AZ 85255 
(North Scottsdale area)",Colossal Management LLC,"PHP, Ubuntu LINUX","$60,000 - $80,000 a year","IT, Design",In person,Full-time
Database Associate,"Manhattan, NY",L.J. Gonzer Associates,N/A,$40 - $50 an hour,N/A,In person,Full-time
IT Solutions Specialist,"Welcome, MN 56181",Easy Automation Inc.,N/A,"$75,000 - $90,000 a year","Bachelor's degree in Information Technology, Computer Science, or related field",In person,Full-time
.Net Software Developer,"New York, NY 10018 
(Clinton area)",NYSERDA,"C#, JavaScript, HTML, CSS, SQL","$73,836 - $123,761 a year",N/A,N/A,Full-time
Computer Network Defense Analyst,"Fort Meade, MD",National Security Agency,N/A,"$79,735 - $191,900 a year","Network Engineering, Systems Engineering, Information Technology, General Engineering, Computer Engineering, Electrical Engineering, Computer Science, Computer Forensics, Cyber Security, Software Engineering, Information Assurance, or Computer Security",N/A,Full-time
Software Architect,Remote,Power Staffing Solutions,"C++, .NET, Python, PHP, HTML, JavaScript, CSS","From $140,000 a year","Bachelor's degree in computer science, software engineering, or a related major",Remote,Full-time
