Title,Location,Company,skills,wage,qualifications,work_place,job_type
R&D Engineer 1 or 2,"San Diego, CA",UC San Diego,"C/C++
SWIFT
Python
VHDL
MATLAB",$23.42 - $44.06 an hour,N/A,N/A,full-time
Performance Researcher,Remote,INTEL,"Rust, C, C++, Java, Python, Node.js","$999,000 - $999,999 a year",N/A,Fully Remote,N/A
QA Engineer,"Hybrid remote in Alpharetta, GA 30004","Priority Technology Holdings, LLC",N/A,N/A,"Computer Science, Information Technology",Hybrid,full-time
Software Engineer,"Buffalo Grove, IL",CVS Health,"Java, Angular, React","$124,372.50 - $247,200.00 a year","Bachelor's Degree in Computer Science, Information systems or similar",Hybrid,Full-time
Engineer - Java,"Hybrid remote in Phoenix, AZ",Amex,"Java, Python, Spring Core, Spring Boot, TestNG, Cucumber, Javascript","$85,000 - $150,000 a year",N/A,Hybrid,N/A
Programmer,"Jefferson City, MO",State of Missouri,"Java,HTML5,JSF,JavaScript,JSON,CSS,XML,Oracle PL/SQL, N/A",N/A,Bachelor's degree from an accredited college or university with at least fifteen (15) semester hours in computer science or computer information systems.,In-person,Full-time
Graduate C++ Software Engineer,"Miami, FL",DA VINCI DERIVATIVES,N/A,N/A,N/A,N/A,N/A
"Assistant Manager, Cyber Security Engineering – Database Security","Vienna, VA 22180",Navy Federal Credit Union,"SQL, PL-SQL","$129,100 - $229,925 a year","Bachelor's Degree in Computer or Electrical Engineering, Computer Science or related field or equivalent work experience
Bachelor's degree in Information Technology, Engineering, or related field, or the equivalent combination of education, training and experience",N/A,Full-time
Computer Science Teacher,"Washington, DC",District of Columbia International School,"JavaScript, Python, Java","$63,113 - $114,845 a year",N/A,N/A,full-time
Computer Engineer,"Crane, IN 47522","SkyBridge Tactical, LLC","C, Python, LabVIEW, Visual Basic","$85,000 - $95,000 a year",Computer Engineering,In-person,N/A
Software Developer,"Hybrid remote in Rock Island, IL 61201",Modern Woodmen of America,N/A,"$53,000 - $90,000 a year",Computer Science,Hybrid,Full-time
Firewall Engineer,"New York, NY 10017 
(Midtown area)",Simpson Thacher & Bartlett LLP,"N/A, N/A","$175,000 - $230,000 a year","Computer Science, Cybersecurity, Information Technology",Remote,N/A
Data Engineer - 1 Year Fellowship,"Hybrid remote in Wilmington, DE",Tech Impact,"Python, Java, R",N/A,"Master's degree in mathematics, computer science, psychology, public health, or another related quantitative field",Hybrid,Fellowship
Summer Student - IT,"Lexington, MA",MIT Lincoln Laboratory,Programming Languages N/A,N/A,Bachelor’s of Science Computer Science or related field,In-person,Full-time
Computer Validation Engineer,"Saint Paul, MN 55117",Cliff IT Solutions Inc,N/A,$30 - $35 an hour,"Computer Science, Computer, Electrical or Biomedical Engineering",In-person,Contract
Electrical Engineer,"Pittsboro, IN 46167",Fleece Performance Engineering,N/A,"$74,818.52 - $90,104.02 a year","Electrical Engineering, computer Science",In person,Full-time
Software Engineer,"Jersey City, NJ 07310 
(The Waterfront area)",JPMorgan Chase & Co,"Java, JSON, Maven, Oracle, Selenium, SVN, UNIX, Javascript, Junit, Microservices, Performance Testing, REST, Splunk, GIT, Jenkins, SOAP, REST web services, Apache Tomcat, Cassandra, Cucumber, JQuery","$173,000 - $260,000 a year",N/A,N/A,Full-time
Junior Software Engineer,"Township of Jackson, NJ","Bryco,LLC",N/A,"$42,000 - $55,000 a year",Computer Science,In person,Full-time
Application Security Engineer,Remote,Indeed,"Java, Python, Javascript","$110,000 - $154,000 a year","Computer Science, Engineering, Computer Security, Information Systems",Remote,Full-time
Software Engineer (Entry Level),"Reston, VA 20190 
(Sunset Hills area)","HunterLab, Inc.","Flutter, React, QT",N/A,"Computer Science, Computer Engineering",In-person,Full-time
AI Machine Learning Engineer,"Hybrid remote in Iselin, NJ 08830",Trinity Solar Careers,"Python, C#","$110,000 - $200,000 a year",N/A,Hybrid,Full-time
Software Engineer,"Hybrid remote in Glendale, CA 91203",Karagozian & Case,"Java, JSON, Maven, Oracle, Selenium, SVN, UNIX, Javascript, Junit, Microservices, Performance Testing, REST, Splunk, GIT, Jenkins, SOAP and REST web services, Apache Tomcat, Cassandra, Cucumber, JQuery","$80,000 - $108,000 a year",N/A,N/A,Full-time
Data Scientist,Remote,Okratin Solutions Pte Ltd,N/A,"$250,000 - $400,000 a year",N/A,Remote,Full-time
Full Stack Software Engineer,Remote,Commit,"HTML, CSS, JavaScript, React, Angular, Node.js, Python, Ruby, Java, PostgreSQL, MySQL, MongoDB","$103,565.50 - $124,724.04 a year","Computer Science, Engineering, or a related field",Remote,Full-time
Software Verification Engineer,"Niles, IL 60714",Jeron Electronic Systems,N/A,N/A,Computer Science,In person,Full-time
Software Programmer,"Ripon, WI 54971",Accurate Controls,N/A,$22 - $26 an hour,"Computer Science, Information Systems, or related discipline",In-person,Full-time
Computer Science Teacher,"San Jose, CA",Silicon Valley Education Foundation,N/A,N/A,N/A,In-person,Part-time
Software Engineer,"St. Louis, MO 63141",Marcone Appliance Parts,"Java, JSON, Maven, Selenium, SVN, UNIX, Javascript, Junit, Microservices, Performance Testing, REST, Splunk, GIT, Jenkins",N/A,N/A,N/A,Full-time
