Title,Location,Company,skills,wage,qualifications,work_place,job_type
Junior Software Engineer,"Lawrenceville, GA",Encompass,"Pick (Jbase), Microsoft SQL",N/A,N/A,N/A,N/A
Full Stack Software Engineer,Remote,Commit,"HTML, CSS, JavaScript, React or Angular, Node.js, Python, Ruby, or Java, PostgreSQL, MySQL, MongoDB, Git",N/A,N/A,Remote,Full-time
Data Scientist,Remote,Commit,"Python, Java, SQL",N/A,N/A,Remote,Full-time
Entry Level Software Developer/Engineer,Remote,CORMAC,N/A,N/A,"Computer Science, Data Analytics, Data Science, Economics",Remote,Part-time
Software Developer,"Hybrid remote in New York, NY 10001",Helix Tech IT solution,"Python, Java, SQL","$98,522 - $105,018 a year",Computer Science,Hybrid,Full-time
Software Engineer- Java/Spring boot,"Charlotte, NC",Lowe's,"Java, Spring, Spring Boot","$75,300 - $143,100 a year","Computer Science, CIS, or related field",N/A,N/A
Jr. Software Developer,"Hybrid remote in Dublin, OH 43017",Echelle Resources,N/A,N/A,N/A,Hybrid,Full-time
Junior Software Developer,"Hybrid remote in Boise, ID",Crelate,".NET, C#, Elastic, SQL","$65,000 - $85,000 a year",N/A,N/A,N/A
Software Engineer,"Ithaca, NY 14850 
(Northwest Ithaca area)",Cayuga Medical Center,"Javascript, Typescript, Python, SQL, PowerShell",N/A,Computer Science or related field,N/A,full-time
Junior Software Engineer,"Township of Jackson, NJ","Bryco,LLC","Pick (Jbase), Microsoft SQL",N/A,N/A,N/A,N/A
DevOps Engineer,Remote,ComplyAuto,N/A,"$100,000 - $170,000 a year","Bachelor's degree in Computer Science, Information Technology, Software Engineering, or related field preferred",Remote,Full-time
Data Scientist,"Austin, TX",PayPal,"Python, Java, N/A",N/A,N/A,Remote,Full-time
Full Stack Developer,"Remote in Rothschild, WI 54474","Foundation Finance Company, LLC","JavaScript, GraphQL, Jest, Kafka, MongoDB, Express, React, Node.js, NestJS, Redis, SQL, TypeScript",N/A,N/A,N/A,full-time
Jr. Unity Developer,Remote,Vectrona,"C#, .NET","$80,000 - $90,000 a year","BS in computer science, computer engineering",Remote,Full-time
Generative AI AND LLM Consultant,Remote,Oxfaa Pvt.Ltd,N/A,$33.13 - $39.90 an hour,"Computer science, Information Technology, Business",Remote,Contract
Dynamics CRM Functional Analyst,"Sharonville, OH 45241",DuBois Chemicals,N/A,N/A,"Computer science, Information Technology or business",N/A,Full-time
High School Mathematics Teacher,"Colorado Springs, CO 80916 
(Southeast Colorado Springs area)",James Irwin Charter Schools,N/A,"$45,000 - $50,000 a year","Computer science, Information Technology or business",N/A,full-time
Software Engineer,"Westlake, OH 44145",Technology Recovery Group,N/A,"$70,000 - $110,000 a year","Bachelor's degree in a related field (Computer Science, Information Technology or business)",N/A,Full-time
Senior Engineer/Scientist,"Hybrid remote in King George, VA 22485",V2X,N/A,"$75,000 - $125,000 a year","Computer science, Information Technology or Business",N/A,Full-time
Software Developer,"Hybrid remote in Research Triangle Park, NC 27703",Sciome LLC,N/A,"$70,000 - $115,000 a year","Computer science, Information Technology or business",N/A,Full-time
Software Engineer,"Rancho Santa Margarita, CA 92688",Aiden Technology,N/A,"$90,000 a year","Computer science, Information Technology or business",N/A,Full-time
Machine Learning Engineer,"North Brunswick, NJ 08902",Sonder Research X,N/A,"From $115,000 a year",N/A,N/A,Full-time
Generative AI Engineer,Remote,EmergeX,N/A,N/A,"Computer science, Information Technology or business",N/A,full-time
Junior Software Developer,"New York, NY",nuArch,N/A,N/A,"Business, Computer Science, Information Technology",N/A,Full-time
Generative AI Engineer,Remote,Domino Systems,N/A,N/A,"Computer science, Information Technology or business",N/A,Full-time
Entry Level Java Software Developer,"East Windsor, NJ 08512",BeaconFire Solution,N/A,"$65,000 - $80,000 a year","Computer science, Information Technology or business",N/A,Full-time
Teacher - Entry Level to Experienced,"Queens, NY 11413",Success Academy Charter Schools,N/A,"From $50,000 a year",N/A,N/A,Full-time
Software Developer-FinTech (Onsite),"Monroe, WI 53566","Colony Brands, Inc.",",N/A","$70,000 - $110,000 a year","Computer science, Information Technology or business",N/A,Full-time
Data Engineer,"Herndon, VA",Hatch IT,N/A,N/A,"Computer science, Information Technology or business",N/A,Full-time
Real-time Software Engineer - Entry Level,"Tukwila, WA",BOEING,N/A,N/A,"Computer Science, Information Technology or Business",N/A,Full-time
Junior Web Developer,Remote,Vertex US Holdings INC,"Java, .NET , C-style, HTML5, CSS, JavaScript, jQuery, jQuery Mobile, MySQL, MSSQL",N/A,Computer Science Degree,Remote,Full-time
Computer Science Engineer Co-op- Fall 2024,"Danvers, MA 01923",MilliporeSigma,"Java, .NET",N/A,Computer Science Degree,Remote,Full-time
Back End Engineer I,Remote,Abnormal Security,"Microsoft C#, ASP.NET, .NET Frameworks, Java, SQL, HTML5, CSS, JavaScript, jQuery, jQuery Mobile, MySQL, MSSQL",N/A,Computer Science Degree,Remote,Full-time
Entry Level Software Developer/Engineer,Remote,CORMAC,"C#, ASP.NET, .NET Frameworks, Java, MySQL, MSSQL",N/A,Computer Science,Remote,Full-time
Data Analyst (Entry Level),Remote,UtiliSave LLC,",Java,.NET,MySQL,MSSQL,,REST,SOAP","From $40,238 a year",Computer Science Degree,Remote,Full-time
Machine Learning Engineer - Generative AI,"Remote in Spring, TX 77389",HP,".NET, Java, HTML5, CSS, JavaScript, jQuery, jQuery Mobile, MySQL, MSSQL, SQL, REST, SOAP",N/A,N/A,Remote,Full-time
